Department,course,level,Class,term,percent
C&HE,EDCE 8600,Graduate,Counselor Education,Fall 13-14,60
C&HE,EDCE 8640,Graduate,Mental Health Consultation,Fall 13-14,
C&HE,EDCE 8900,Graduate,Special Topics in EDCE,Fall 13-14,20
C&HE,EDCE 8910,Graduate,Internship,Fall 13-14,70
C&HE,EDCE 8920,Graduate,Practicum in Counselor Educ,Fall 13-14,13.3
C&HE,EDCE 8930,Graduate,Adv Read and Rsrch in Counsel,Fall 13-14,13.3
C&HE,EDCE 8950,Graduate,Dissertation,Fall 13-14,68
C&HE,EDCE 8990,Graduate,Leadership in Counseling,Fall 13-14,
C&HE,EDCP 5210,Graduate,Coll Stu Dev: Theory Practice,Fall 13-14,77.1
C&HE,EDCP 5220,Graduate,College Campus/Student Environ,Fall 13-14,100
C&HE,EDCP 6300,Graduate,Help Relationship in Higher Ed,Fall 13-14,56
C&HE,EDCP 6400,Graduate,Student Affairs Seminar I,Fall 13-14,
C&HE,EDCP 6500,Graduate,Student Affairs Seminar II,Fall 13-14,84
C&HE,EDCP 6600,Graduate,Student Affairs Seminar III,Fall 13-14,
C&HE,EDCP 6900,Graduate,Special Topics in EDCP,Fall 13-14,
C&HE,EDCP 6920,Graduate,Practicum in Student Affairs,Fall 13-14,40
C&HE,EDCP 7250,Graduate,Adv Student Development,Fall 13-14,
C&HE,EDCP 7430,Graduate,Spec Studies in Stud Dev,Fall 13-14,
C&HE,EDCP 7470C,Graduate,Service-learning,Fall 13-14,
C&HE,EDCP 8210,Graduate,Adv Stu Dev: Theory and Rsrch,Fall 13-14,
C&HE,EDCP 8900,Graduate,Special Topics in EDCP,Fall 13-14,
C&HE,EDHE 6880,Graduate,Higher Educ in United States,Fall 13-14,77.1
C&HE,EDHE 6885,Graduate,Hist/Phil American High Educ,Fall 13-14,
C&HE,EDHE 6890,Graduate,Legal Issues in Amer Higher Ed,Fall 13-14,
C&HE,EDHE 6900,Graduate,Special Topics in Higher Educ,Fall 13-14,
C&HE,EDHE 6940,Graduate,Capstone in Higher Ed/Stu Aff,Fall 13-14,100
C&HE,EDHE 7210,Graduate,Diversity in Amer Higher Edu,Fall 13-14,
C&HE,EDHE 7390,Graduate,Amer Comm Colleges,Fall 13-14,
C&HE,EDHE 7780,Graduate,Assessment and Evaluation,Fall 13-14,87.5
C&HE,EDHE 7790,Graduate,Finance/Budgeting in High Educ,Fall 13-14,62.2
C&HE,EDHE 7800,Graduate,The Professoriate,Fall 13-14,44.8
C&HE,EDHE 7810,Graduate,Pract Coll Teaching and Curric,Fall 13-14,66.7
C&HE,EDHE 7820,Graduate,Effect Curr and Tchng Practice,Fall 13-14,
C&HE,EDHE 7830,Graduate,Institutional Research,Fall 13-14,
C&HE,EDHE 7850,Graduate,Org and Gov of Higher Educ,Fall 13-14,
C&HE,EDHE 7860,Graduate,Management in Higher Education,Fall 13-14,
C&HE,EDHE 7880,Graduate,Policy in Higher Education,Fall 13-14,
C&HE,EDHE 7890,Graduate,Advanced Applications for HEd,Fall 13-14,
C&HE,EDHE 7915,Graduate,International Service-Learning,Fall 13-14,
C&HE,EDHE 7920,Graduate,Pract High Educ Admin,Fall 13-14,
C&HE,EDHE 8210,Graduate,Critical Race Theory in HEd,Fall 13-14,
C&HE,EDHE 8900,Graduate,Adv Spec Topics in Higher Educ,Fall 13-14,
C&HE,EDHE 8930,Graduate,Readings and Research in HEd,Fall 13-14,58.8
C&HE,EDHE 8950,Graduate,Dissertation,Fall 13-14,42
C&HE,EDCE 2010,Undergraduate,Career and Life Planning,Fall 13-14,91.7
C&HE,EDCE 4000,Undergraduate,Spec Topics Guid and Counsel,Fall 13-14,100
C&HE,EDCE 4100,Undergraduate,Human Relations,Fall 13-14,45
C&HE,EDCP 4000,Undergraduate,Special Topics,Fall 13-14,
EDST,EDAD 5900,Graduate,Special Topics in EDAD,Fall 13-14,
EDST,EDAD 5910,Graduate,Ed Administration Internship I,Fall 13-14,20
EDST,EDAD 5911,Graduate,Ed Admin Internship II,Fall 13-14,0
EDST,EDAD 6010,Graduate,Intro Leadership Org Behavior,Fall 13-14,
EDST,EDAD 6020,Graduate,Structure & Behavior Educ Orgs,Fall 13-14,
EDST,EDAD 6021,Graduate,The School and Community,Fall 13-14,
EDST,EDAD 6110,Graduate,Educational Law for School Ldr,Fall 13-14,
EDST,EDAD 6210,Graduate,Educational Finance Schl Ldrsh,Fall 13-14,
EDST,EDAD 6310,Graduate,Personnel Administration in Ed,Fall 13-14,
EDST,EDAD 6400,Graduate,The Principalship,Fall 13-14,
EDST,EDAD 6425,Graduate,Role of Principal in Instruct,Fall 13-14,52
EDST,EDAD 6610,Graduate,School-Community Relations,Fall 13-14,
EDST,EDAD 6900,Graduate,Special Topics in EDAD,Fall 13-14,
EDST,EDAD 6942,Graduate,Research Educational Admin,Fall 13-14,8.9
EDST,EDAD 6980,Graduate,Ed Admin Portfolio: Data Gath,Fall 13-14,0
EDST,EDAD 7071,Graduate,Comparative Cultures & Educ,Fall 13-14,
EDST,EDAD 7072,Graduate,Education & Development,Fall 13-14,
EDST,EDAD 7073,Graduate,Perspectives Int'l Global Educ,Fall 13-14,
EDST,EDAD 7300,Graduate,Advanced Seminar in Leadership,Fall 13-14,4
EDST,EDAD 7522,Graduate,Education and Development,Fall 13-14,
EDST,EDAD 7523,Graduate,Global Education & Development,Fall 13-14,
EDST,EDAD 7524,Graduate,Global & Trancultural,Fall 13-14,
EDST,EDAD 7525,Graduate,Advanced Comparative Education,Fall 13-14,
EDST,EDAD 7710,Graduate,Community Education,Fall 13-14,56
EDST,EDAD 7820,Graduate,Politics/Policy in Education,Fall 13-14,
EDST,EDAD 7900,Graduate,Special Topics in Ed Admin,Fall 13-14,
EDST,EDAD 7915,Graduate,Adv Sem Ed Leadership I,Fall 13-14,2.7
EDST,EDAD 7916,Graduate,Adv Sem Ed Leadership II,Fall 13-14,32
EDST,EDAD 8110,Graduate,Legal Aspects of Educ Admin,Fall 13-14,
EDST,EDAD 8800,Graduate,Rural Schools and Communities,Fall 13-14,
EDST,EDAD 8810,Graduate,Organization Education Systems,Fall 13-14,4
EDST,EDAD 8820,Graduate,Politics/Policy in Education,Fall 13-14,
EDST,EDAD 8900,Graduate,Special Topics in EDAD,Fall 13-14,0
EDST,EDAD 8901,Graduate,Research in Educ Research,Fall 13-14,4.3
EDST,EDAD 8950,Graduate,Dissertation,Fall 13-14,25.8
EDST,EDCS 5010,Graduate,History & Philosophies of Edu,Fall 13-14,
EDST,EDCS 5020,Graduate,Education & Social Change,Fall 13-14,86.7
EDST,EDCS 5030,Graduate,Advanced Philosophy of Educ,Fall 13-14,
EDST,EDCS 5040,Graduate,Soc Politics & Change in Edu,Fall 13-14,60
EDST,EDCS 5100,Graduate,Intro Critical Studies in Educ,Fall 13-14,66.7
EDST,EDCS 5110,Graduate,Colloquium Critical Studies Ed,Fall 13-14,100
EDST,EDCS 5900,Graduate,Independent Study Critical Stu,Fall 13-14,13.3
EDST,EDCS 6010,Graduate,Education & Cultural Diversity,Fall 13-14,
EDST,EDCS 6900,Graduate,Special Topics Critical Study,Fall 13-14,0
EDST,EDCS 6920,Graduate,Practicum in Critical Studies,Fall 13-14,0
EDST,EDCS 6940,Graduate,Research Critical Studies Educ,Fall 13-14,33.3
EDST,EDCS 6941,Graduate,Master's Res Project CS Edu,Fall 13-14,13.3
EDST,EDCS 6950,Graduate,Masters Thesis Critical St Ed,Fall 13-14,0
EDST,EDCS 8010,Graduate,Crit Cult Theo & Pedag Empwer,Fall 13-14,
EDST,EDCS 8900,Graduate,Special TopicsCritical Studies,Fall 13-14,0
EDST,EDCS 8920,Graduate,Practicum in Critical Studies,Fall 13-14,0
EDST,EDCS 8940,Graduate,Research Critical Studies Educ,Fall 13-14,13.3
EDST,EDCS 8950,Graduate,Dissertation Critical Studies,Fall 13-14,6.7
EDST,EDCT 5011,Graduate,Technology Apps in Education,Fall 13-14,
EDST,EDCT 5012,Graduate,CET-Technology in Education,Fall 13-14,
EDST,EDCT 6002,Graduate,Visual Literacy Mediated Instr,Fall 13-14,
EDST,EDCT 6011,Graduate,Instructional Design,Fall 13-14,72
EDST,EDCT 6012,Graduate,Teaching and Learning Online,Fall 13-14,
EDST,EDCT 6030,Graduate,Princ. of Instructional Design,Fall 13-14,
EDST,EDCT 6031,Graduate,Adv Tpcs Instructional Design,Fall 13-14,
EDST,EDCT 6032,Graduate,Adult Learning in Online Envs,Fall 13-14,28
EDST,EDCT 6042,Graduate,Leadrsh & Prof Develop in Tech,Fall 13-14,
EDST,EDCT 6051,Graduate,Multimedia Tools in Education,Fall 13-14,100
EDST,EDCT 6052,Graduate,Assess & Eval Tech Rich Class,Fall 13-14,
EDST,EDCT 6122,Graduate,Masters Portfolio inTechnology,Fall 13-14,3.3
EDST,EDCT 6901,Graduate,Workshops on Special Topics,Fall 13-14,24
EDST,EDCT 6910,Graduate,CET Clinical Practice,Fall 13-14,6.7
EDST,EDCT 6913,Graduate,Master's Research Project,Fall 13-14,0
EDST,EDCT 6940,Graduate,Research in Education,Fall 13-14,3.3
EDST,EDCT 6950,Graduate,Thesis,Fall 13-14,0
EDST,EDCT 7011,Graduate,Phil of Instructional Tech,Fall 13-14,
EDST,EDCT 7021,Graduate,Online Course Development,Fall 13-14,
EDST,EDCT 7022,Graduate,Issues & Trends in Inst Tech,Fall 13-14,88
EDST,EDCT 7032,Graduate,Research Lit Instruction Tech,Fall 13-14,
EDST,EDCT 7042,Graduate,Emerging Tech for Learning,Fall 13-14,
EDST,EDCT 7900,Graduate,Adv Seminar Instructional Tech,Fall 13-14,
EDST,EDCT 7964,Graduate,Adv Seminar IT - IT Philosophy,Fall 13-14,
EDST,EDCT 8920,Graduate,Practicum Instructional Tech,Fall 13-14,20
EDST,EDCT 8930,Graduate,Research in Education,Fall 13-14,30
EDST,EDCT 8950,Graduate,Dissertation,Fall 13-14,63.3
EDST,EDRE 5010,Graduate,Intro to Research Methods,Fall 13-14,86.7
EDST,EDRE 5900,Graduate,Special Topics in EDRE,Fall 13-14,0
EDST,EDRE 6900,Graduate,Special Topics in EDRE,Fall 13-14,22.2
EDST,EDRE 6920,Graduate,Special Projects in Ed Resrch,Fall 13-14,0
EDST,EDRE 6930,Graduate,Readings in Ed Resrch & Eval,Fall 13-14,0
EDST,EDRE 6940,Graduate,Research in Ed Resrch & Eval,Fall 13-14,10
EDST,EDRE 6950,Graduate,Thesis,Fall 13-14,0
EDST,EDRE 7110,Graduate,Theory/Techn Test Development,Fall 13-14,
EDST,EDRE 7120,Graduate,Item Response Theory,Fall 13-14,
EDST,EDRE 7200,Graduate,Educational Statistics,Fall 13-14,77.5
EDST,EDRE 7210,Graduate,Regression Analysis in Educ,Fall 13-14,
EDST,EDRE 7230,Graduate,Questionnaire & Scale Develop,Fall 13-14,
EDST,EDRE 7330,Graduate,Research Design in Education,Fall 13-14,
EDST,EDRE 7500,Graduate,Intro to Qual Research Methods,Fall 13-14,100
EDST,EDRE 7510,Graduate,Qualitative Interviewing,Fall 13-14,
EDST,EDRE 7520,Graduate,Ethnographic Methods in Educ,Fall 13-14,66.7
EDST,EDRE 7600,Graduate,Multivariate Stats Methods Ed,Fall 13-14,100
EDST,EDRE 7610,Graduate,Computer Programming in EDRE,Fall 13-14,
EDST,EDRE 7800,Graduate,Program Evaluation in Educ,Fall 13-14,
EDST,EDRE 7910,Graduate,Advanced Projects Educ Resrch,Fall 13-14,6.7
EDST,EDRE 7930,Graduate,Advanced Readings in EDRE,Fall 13-14,10
EDST,EDRE 7940,Graduate,Advanced Research in EDRE,Fall 13-14,3.3
EDST,EDRE 8900,Graduate,Special Topics in EDRE,Fall 13-14,0
EDST,EDRE 8950,Graduate,Dissertation,Fall 13-14,23.3
EDST,EDAD 2520,Undergraduate,Admin in Non-Western Cultures,Fall 13-14,0
EDST,EDAD 4200,Undergraduate,Comparative Cultures & Educ,Fall 13-14,0
EDST,EDAD 4900,Undergraduate,Special Topics in EDAD,Fall 13-14,0
EDST,EDCS 1011,Undergraduate,Intro to Diversity Studies,Fall 13-14,100
EDST,EDCS 3010,Undergraduate,Education & Cultural Diversity,Fall 13-14,91
EDST,EDCS 4001,Undergraduate,Democracy Diversity & Educ,Fall 13-14,100
EDST,EDCS 4900,Undergraduate,Special Topics Critical Study,Fall 13-14,14
EDST,EDCS 4920,Undergraduate,Practicum in Critical Studies,Fall 13-14,0
EDST,EDCS 4930,Undergraduate,Independent Study Critical Stu,Fall 13-14,0
EDST,EDCT 2030,Undergraduate,Technological Apps inEducation,Fall 13-14,98
HCSE,CONS 5900,Graduate,Special Topics in CONS,Fall 13-14,20
HCSE,CONS 5953,Graduate,Customer Service,Fall 13-14,
HCSE,CONS 6000,Graduate,Seminar in HCS,Fall 13-14,13.3
HCSE,CONS 6940,Graduate,Research,Fall 13-14,16.7
HCSE,CONS 6950,Graduate,Thesis,Fall 13-14,16.7
HCSE,RFPD 5070,Graduate,Texitle and Fashion Industry,Fall 13-14,1.7
HCSE,RFPD 5900,Graduate,Special Topics in RFPD,Fall 13-14,0
HCSE,RFPD 6090,Graduate,Psy Soc and Econ Aspects,Fall 13-14,20
HCSE,RFPD 6170,Graduate,Readings: Apparel Text Merch,Fall 13-14,4
HCSE,RFPD 6500,Graduate,Theories in Merchandising,Fall 13-14,
HCSE,RFPD 6900,Graduate,Special Topics in RFPD,Fall 13-14,
HCSE,RHT 5330,Graduate,Food Sanitation and Safety,Fall 13-14,0
HCSE,RHT 5340,Graduate,Intro Food Production: Hosp,Fall 13-14,
HCSE,CONS 1100,Undergraduate,Opportunities Fam and Con Sci,Fall 13-14,32
HCSE,CONS 2500,Undergraduate,Family as Consumers Global Com,Fall 13-14,76.7
HCSE,CONS 3100,Undergraduate,HR for Customer Service,Fall 13-14,51.7
HCSE,CONS 3400,Undergraduate,Teach Family and Consumer Sci,Fall 13-14,13.3
HCSE,CONS 3450J,Undergraduate,Writing Human/Consumer Sci,Fall 13-14,100
HCSE,CONS 3890,Undergraduate,Customer Service Career Dev,Fall 13-14,
HCSE,CONS 3950,Undergraduate,Consumer Resource and Fin Mgt,Fall 13-14,
HCSE,CONS 4910,Undergraduate,Field Work- Career Tech Educ,Fall 13-14,
HCSE,CONS 4916,Undergraduate,Internship: Food Service,Fall 13-14,20
HCSE,CONS 4952,Undergraduate,Workshop in FCS,Fall 13-14,
HCSE,CONS 4953,Undergraduate,Customer Service,Fall 13-14,33.3
HCSE,CONS 4961,Undergraduate,Seminar FCSE,Fall 13-14,
HCSE,RFPD 1100,Undergraduate,Fashion and Culture,Fall 13-14,100
HCSE,RFPD 1500,Undergraduate,Design and Illustration,Fall 13-14,100
HCSE,RFPD 1600,Undergraduate,Color Theory for Visual Merch,Fall 13-14,90
HCSE,RFPD 2010,Undergraduate,Introduction to Retailing,Fall 13-14,51
HCSE,RFPD 2150,Undergraduate,Elementary Textiles,Fall 13-14,60
HCSE,RFPD 3830,Undergraduate,Product Dev Eval and Distrib,Fall 13-14,100
HCSE,RFPD 3890,Undergraduate,Career Search Strategies,Fall 13-14,73.3
HCSE,RFPD 4070,Undergraduate,Global Retail Issues,Fall 13-14,65
HCSE,RFPD 4230,Undergraduate,Retail Merchandising-Strategy,Fall 13-14,61.7
HCSE,RFPD 4300,Undergraduate,Buying and Planning,Fall 13-14,
HCSE,RFPD 4800,Undergraduate,Strategic Retail Policy,Fall 13-14,18.3
HCSE,RFPD 4900,Undergraduate,Special Topics in RFPD,Fall 13-14,
HCSE,RFPD 4920,Undergraduate,New York Study Tour,Fall 13-14,94.4
HCSE,RFPD 4930,Undergraduate,Independent Study,Fall 13-14,7.1
HCSE,RHT 1050,Undergraduate,Intro to Food Operations Mgt,Fall 13-14,100
HCSE,RHT 1100,Undergraduate,Introduction to Hospitality,Fall 13-14,86
HCSE,RHT 1200,Undergraduate,Food and Culture,Fall 13-14,
HCSE,RHT 1330,Undergraduate,Food Sanitation and Safety,Fall 13-14,
HCSE,RHT 2990,Undergraduate,Intro to Food Preparation,Fall 13-14,75
HCSE,RHT 3340,Undergraduate,Intro Food Production: Hosp,Fall 13-14,52.8
HCSE,RHT 3410,Undergraduate,Principles of Tourism,Fall 13-14,
HCSE,RHT 3600,Undergraduate,Catering,Fall 13-14,60
HCSE,RHT 3610,Undergraduate,Hotel Operations,Fall 13-14,62
HCSE,RHT 3620,Undergraduate,Convention and Event Planning,Fall 13-14,100
HCSE,RHT 3700,Undergraduate,Casino Management I,Fall 13-14,
HCSE,RHT 4000,Undergraduate,Hospitality Senior Seminar,Fall 13-14,8
HCSE,RHT 4390,Undergraduate,Restaurant Operations,Fall 13-14,40
HCSE,RHT 4400,Undergraduate,Beverage Management,Fall 13-14,46
HCSE,RHT 4420,Undergraduate,Hospitality Accounting,Fall 13-14,66
HCSE,RHT 4430,Undergraduate,Hospitality Marketing,Fall 13-14,
HCSE,RHT 4700,Undergraduate,Casino Management II,Fall 13-14,
HCSE,RHT 4750,Undergraduate,Casino Marketing,Fall 13-14,
HCSE,RHT 4920,Undergraduate,Hospitality Practicum,Fall 13-14,5
HCSE,RHT 4930,Undergraduate,Independent Study in Hosp,Fall 13-14,0
HCSE,T3 4725,Undergraduate,Women and Leadership,Fall 13-14,100
RSP,COED 5212,Graduate,Elite Athlete,Fall 13-14,
RSP,COED 5213,Graduate,Skill Acquisition,Fall 13-14,
RSP,COED 5300,Graduate,Readings in Coaching,Fall 13-14,
RSP,COED 5305,Graduate,Issues in Athletic Coaching,Fall 13-14,
RSP,COED 5900,Graduate,Special Topics in COED,Fall 13-14,
RSP,COED 5901,Graduate,Coaching Symposium,Fall 13-14,
RSP,COED 5911,Graduate,Instructional Experience,Fall 13-14,40
RSP,COED 6100,Graduate,Coaching Workshop I,Fall 13-14,
RSP,COED 6110,Graduate,Foundations of Coaching I,Fall 13-14,76
RSP,COED 6120,Graduate,Mgt and Leadership in Sport,Fall 13-14,
RSP,COED 6130,Graduate,Finance for Sport Coaches,Fall 13-14,
RSP,COED 6140,Graduate,Psychology of Coaching,Fall 13-14,
RSP,COED 6150,Graduate,Injury Prevention & Risk Mgt.,Fall 13-14,92
RSP,COED 6160,Graduate,Perf and Cond for Coaches,Fall 13-14,
RSP,COED 6170,Graduate,Ethics and Diversity,Fall 13-14,72
RSP,COED 6190,Graduate,Coaching through Games,Fall 13-14,
RSP,COED 6200,Graduate,Research and Analysis Methods,Fall 13-14,76
RSP,COED 6230,Graduate,Applying Research,Fall 13-14,
RSP,COED 6330,Graduate,Analysis of Sport Performance,Fall 13-14,
RSP,COED 6340,Graduate,Performance Recovery,Fall 13-14,
RSP,COED 6400,Graduate,Coaching Performance Eval,Fall 13-14,5
RSP,COED 6920,Graduate,Practicum,Fall 13-14,40
RSP,COED 6930,Graduate,Guided Independent Study,Fall 13-14,0
RSP,COED 6940,Graduate,Research Dynamics,Fall 13-14,10
RSP,COED 6941,Graduate,Special Problems,Fall 13-14,5
RSP,COED 6950,Graduate,Thesis,Fall 13-14,0
RSP,REC 5400,Graduate,Environmental Interpretation,Fall 13-14,60
RSP,REC 5430,Graduate,Marketing for Recreation,Fall 13-14,
RSP,REC 5460,Graduate,Parks & Protected Areas,Fall 13-14,
RSP,REC 5550,Graduate,Principles of Ecotourism,Fall 13-14,
RSP,REC 5560,Graduate,Ecotourism Destinations,Fall 13-14,
RSP,REC 5620,Graduate,Convention & Event Planning,Fall 13-14,
RSP,REC 5740,Graduate,Facilitating the Adventure Exp,Fall 13-14,
RSP,REC 5800,Graduate,Wilderness Literature,Fall 13-14,100
RSP,REC 5901,Graduate,Instructional Experience,Fall 13-14,0
RSP,REC 6010,Graduate,Trends and Global Iss in Rec,Fall 13-14,95
RSP,REC 6011,Graduate,Finance and Marketing of Rec,Fall 13-14,
RSP,REC 6080,Graduate,Research Meth and Stat App,Fall 13-14,
RSP,REC 6170,Graduate,Leisure and Sport in Society,Fall 13-14,80
RSP,REC 6490,Graduate,Administration of Recreation,Fall 13-14,
RSP,REC 6750,Graduate,Adventure Programming,Fall 13-14,
RSP,REC 6800,Graduate,Phil Experiential Education,Fall 13-14,
RSP,REC 6920,Graduate,Practicum,Fall 13-14,12
RSP,REC 6930,Graduate,Guided Independent Study,Fall 13-14,4
RSP,REC 6932,Graduate,Special Problems,Fall 13-14,10
RSP,REC 6940,Graduate,Research Dynamics,Fall 13-14,0
RSP,REC 6950,Graduate,Thesis,Fall 13-14,13.3
RSP,COED 2120,Undergraduate,Intro to Coaching,Fall 13-14,49.6
RSP,COED 2130,Undergraduate,Youth and Sports,Fall 13-14,
RSP,COED 2515,Undergraduate,Tech and Tactics: Strength,Fall 13-14,20
RSP,COED 2610,Undergraduate,Techniques & Tactics: Baseball,Fall 13-14,25
RSP,COED 2611,Undergraduate,Tech and Tactics; Basketball,Fall 13-14,75
RSP,COED 2613,Undergraduate,Tech and Tactics: Football,Fall 13-14,80
RSP,COED 2614,Undergraduate,Tech and Tactics: Ice Hockey,Fall 13-14,20
RSP,COED 2616,Undergraduate,Tech and Tactics: Soccer,Fall 13-14,0
RSP,COED 2920,Undergraduate,Practicum in Coaching,Fall 13-14,
RSP,COED 3130,Undergraduate,Human Dynamics in Sport,Fall 13-14,28
RSP,COED 3210,Undergraduate,Coaching Golf,Fall 13-14,
RSP,COED 3212,Undergraduate,Coaching Track and Field,Fall 13-14,
RSP,COED 3214,Undergraduate,Coaching Strength,Fall 13-14,
RSP,COED 3311,Undergraduate,Coaching Basketball,Fall 13-14,
RSP,COED 3313,Undergraduate,Coaching Football,Fall 13-14,
RSP,COED 3314,Undergraduate,Coaching Ice Hockey,Fall 13-14,
RSP,COED 3316,Undergraduate,Coaching Soccer,Fall 13-14,
RSP,COED 3410,Undergraduate,Ath Officiating: Baseball,Fall 13-14,
RSP,COED 3411,Undergraduate,Ath Officiating: Basketball,Fall 13-14,
RSP,COED 3413,Undergraduate,Ath Officiating: Football,Fall 13-14,
RSP,COED 3515,Undergraduate,Coaching of Strength and Cond,Fall 13-14,20
RSP,COED 3610,Undergraduate,Coaching of Baseball,Fall 13-14,
RSP,COED 3611,Undergraduate,Coaching of Basketball,Fall 13-14,
RSP,COED 3613,Undergraduate,Coaching of Football,Fall 13-14,
RSP,COED 3614,Undergraduate,Coaching of Ice Hockey,Fall 13-14,20
RSP,COED 3616,Undergraduate,Coaching of Soccer,Fall 13-14,
RSP,COED 4212,Undergraduate,Elite Athlete,Fall 13-14,
RSP,COED 4213,Undergraduate,Skill Acquisition,Fall 13-14,
RSP,COED 4900,Undergraduate,Special Topics in COED,Fall 13-14,
RSP,COED 4920,Undergraduate,Practicum in Coaching,Fall 13-14,20
RSP,COED 4930,Undergraduate,Independent Study,Fall 13-14,10
RSP,PAW 1000,Undergraduate,Exercise and Conditioning,Fall 13-14,97.5
RSP,PAW 1001,Undergraduate,Aerobic Conditioning,Fall 13-14,87.5
RSP,PAW 1002,Undergraduate,Circuit Training,Fall 13-14,85.6
RSP,PAW 1003,Undergraduate,Weight Training,Fall 13-14,85
RSP,PAW 1004,Undergraduate,Jogging,Fall 13-14,87.5
RSP,PAW 1005,Undergraduate,Yoga,Fall 13-14,
RSP,PAW 1100,Undergraduate,Basketball,Fall 13-14,100
RSP,PAW 1102,Undergraduate,Softball,Fall 13-14,
RSP,PAW 1103,Undergraduate,Fundamentals of Volleyball,Fall 13-14,97
RSP,PAW 1104,Undergraduate,Ultimate Frisbee,Fall 13-14,98
RSP,PAW 1105,Undergraduate,Broomball,Fall 13-14,93.3
RSP,PAW 1106,Undergraduate,Ice Hockey,Fall 13-14,60.6
RSP,PAW 1107,Undergraduate,Indoor Soccer,Fall 13-14,93.3
RSP,PAW 1108,Undergraduate,Soccer,Fall 13-14,90
RSP,PAW 1109,Undergraduate,Flag Football,Fall 13-14,96
RSP,PAW 1110,Undergraduate,Team Handball,Fall 13-14,87.5
RSP,PAW 1113,Undergraduate,Netball,Fall 13-14,
RSP,PAW 1114,Undergraduate,Jokgu,Fall 13-14,
RSP,PAW 1115,Undergraduate,Futsal,Fall 13-14,
RSP,PAW 1200,Undergraduate,Fundamentals of Racquetball,Fall 13-14,97.2
RSP,PAW 1201,Undergraduate,Fundamentals of Tennis,Fall 13-14,93.8
RSP,PAW 1202,Undergraduate,Fundamentals of Golf,Fall 13-14,98.2
RSP,PAW 1203,Undergraduate,Badminton,Fall 13-14,100
RSP,PAW 1206,Undergraduate,Bowling,Fall 13-14,67.5
RSP,PAW 1208,Undergraduate,Archery,Fall 13-14,100
